Name,Regional,geometry
Sapucai 2,CENTRO-SUL,POINT Z (-43.93296860538943 -19.91899400391423 0)
Sapucai 1,CENTRO-SUL,POINT Z (-43.93211712305332 -19.91536633127136 0)
Parque 3,CENTRO-SUL,POINT Z (-43.93509560175001 -19.92449934131233 0)
Parque 2,CENTRO-SUL,POINT Z (-43.93366015595266 -19.9268772346784 0)
Parque 1,CENTRO-SUL,POINT Z (-43.93188246032068 -19.92448452274403 0)
Parque 4,CENTRO-SUL,POINT Z (-43.93349277444847 -19.92172210862132 0)
LAG-02,NOROESTE,POINT Z (-43.94389010126068 -19.9131907881532 0)
LAG-01,NOROESTE,POINT Z (-43.94212399784729 -19.90989920094845 0)
CFTV01,NOROESTE,POINT Z (-43.94654404627393 -19.91378379942542 0)
CFTV02,CENTRO-SUL,POINT Z (-43.93795238062224 -19.91403850455062 0)
CFTV03,CENTRO-SUL,POINT Z (-43.93396450208233 -19.91488166736541 0)
CFTV04,CENTRO-SUL,POINT Z (-43.94026487296357 -19.91526504420636 0)
CFTV05,CENTRO-SUL,POINT Z (-43.93532119409674 -19.91739514725996 0)
CFTV06,CENTRO-SUL,POINT Z (-43.93840344161541 -19.91917288389032 0)
CFTV07,CENTRO-SUL,POINT Z (-43.94817753209549 -19.91807187235524 0)
CFTV08,OESTE,POINT Z (-43.95661136260301 -19.9188675647451 0)
CFTV09,CENTRO-SUL,POINT Z (-43.94280767681279 -19.92078282664953 0)
CFTV10,CENTRO-SUL,POINT Z (-43.9404571320056 -19.92012859153028 0)
CFTV11,CENTRO-SUL,POINT Z (-43.94352353198695 -19.92183604634547 0)
CFTV12,CENTRO-SUL,POINT Z (-43.93606903545837 -19.9249224271702 0)
CFTV13,CENTRO-SUL,POINT Z (-43.94673918601649 -19.92363412478923 0)
CFTV14,OESTE,POINT Z (-43.95731229546119 -19.92947758888682 0)
CFTV15,CENTRO-SUL,POINT Z (-43.93943171785636 -19.93191725932064 0)
CFTV16,CENTRO-SUL,POINT Z (-43.9378142905825 -19.93327401602128 0)
CFTV17,CENTRO-SUL,POINT Z (-43.94919498955858 -19.93227423560012 0)
CFTV18,CENTRO-SUL,POINT Z (-43.95220454964221 -19.93395730049966 0)
CFTV19,CENTRO-SUL,POINT Z (-43.93516998514617 -19.94748155077238 0)
CFTV20,CENTRO-SUL,POINT Z (-43.92623482691312 -19.93904297159872 0)
CFTV21,CENTRO-SUL,POINT Z (-43.93314438099816 -19.93968813906991 0)
CFTV22,CENTRO-SUL,POINT Z (-43.93652073265828 -19.93682741125827 0)
CFTV23,CENTRO-SUL,POINT Z (-43.94490812789316 -19.92188675631002 0)
CFTV24,CENTRO-SUL,POINT Z (-43.9517537605027 -19.92643649968352 0)
CFTV25,CENTRO-SUL,POINT Z (-43.94028281355472 -19.93055941366145 0)
CFTV26,CENTRO-SUL,POINT Z (-43.94188329437218 -19.92821058166553 0)
CFTV27,CENTRO-SUL,POINT Z (-43.93373003100213 -19.92667853356003 0)
CFTV28,CENTRO-SUL,POINT Z (-43.92545853996008 -19.92614979195025 0)
CFTV29,CENTRO-SUL,POINT Z (-43.93119808291956 -19.92221646228577 0)
CFTV30,LESTE,POINT Z (-43.91880953268819 -19.92256681445958 0)
CFTV31,CENTRO-SUL,POINT Z (-43.9241194928659 -19.92149950598882 0)
CFTV33,LESTE,POINT Z (-43.92982021408013 -19.91207959234778 0)
Cam 101,CENTRO-SUL,POINT Z (-43.94845984545609 -19.93488574845454 0)
