origem;data_hora;mes_ano;trimestre_ano;endereco;regional;ano;Geometry
SGO;2021-01-01 03:41:00;JANEIRO/2021;01/2021;AVENIDA ALVARES CABRAL 801, LOURDES;CENTRO-SUL;2021;POINT (-44.02483479 -19.93867005)
SGO;2021-01-01 07:21:00;JANEIRO/2021;01/2021;RUA ESPIRITO SANTO 801, CENTRO;CENTRO-SUL;2021;POINT (-43.99267662 -19.92724957)
SGO;2021-01-01 07:53:00;JANEIRO/2021;01/2021;AVENIDA DO CONTORNO 8546, SANTO AGOSTINHO;CENTRO-SUL;2021;POINT (-43.99267662 -19.92724957)
SGO;2021-01-01 11:13:00;JANEIRO/2021;01/2021;AVENIDA DOM PEDRO II 1269, CARLOS PRATES;NOROESTE;2021;POINT (-44.02483479 -19.93867005)
SGO;2021-01-01 15:57:00;JANEIRO/2021;01/2021;RUA DOS TIMBIRAS 1319, BOA VIAGEM;CENTRO-SUL;2021;POINT (-43.9825575868865 -19.9266938101815)
SGO;2021-01-02 02:36:00;JANEIRO/2021;01/2021;AVENIDA BIAS FORTES 309, LOURDES;CENTRO-SUL;2021;POINT (-43.93987189 -19.9151442)
SGO;2021-01-02 05:56:00;JANEIRO/2021;01/2021;AVENIDA AMAZONAS 3808, PRADO;OESTE;2021;POINT (-43.93812313 -19.9348588)
SGO;2021-01-02 10:01:00;JANEIRO/2021;01/2021;RUA DOS TAMOIOS 267, CENTRO;CENTRO-SUL;2021;POINT (-43.98098108 -19.93059942)
SGO;2021-01-02 18:32:00;JANEIRO/2021;01/2021;AVENIDA AUGUSTO DE LIMA 100, CENTRO;CENTRO-SUL;2021;POINT (-43.9555145649915 -19.870852277546)
SGO;2021-01-03 05:48:00;JANEIRO/2021;01/2021;AVENIDA OLEGARIO MACIEL 516, CENTRO;CENTRO-SUL;2021;POINT (-43.98405934 -19.92557271)
SGO;2021-01-03 16:49:00;JANEIRO/2021;01/2021;AVENIDA AFONSO PENA 1781, FUNCIONARIOS;CENTRO-SUL;2021;POINT (-43.95574425 -19.86996885)
SGO;2021-01-05 00:47:00;JANEIRO/2021;01/2021;AVENIDA BIAS FORTES 338, LOURDES;CENTRO-SUL;2021;POINT (-43.97209812 -19.91403488)
SGO;2021-01-05 06:16:00;JANEIRO/2021;01/2021;AVENIDA CRISTIANO MACHADO 6742, PRIMEIRO DE MAIO;NORTE;2021;POINT (-43.9391965320286 -19.915254416506)
SGO;2021-01-06 04:48:00;JANEIRO/2021;01/2021;AVENIDA CRISTIANO MACHADO 6742, PRIMEIRO DE MAIO;NORTE;2021;POINT (-43.9814302529346 -19.9302400121149)
SGO;2021-01-06 05:14:00;JANEIRO/2021;01/2021;AVENIDA DO CONTORNO 8495, GUTIERREZ;OESTE;2021;POINT (-43.9376491037549 -19.9351957252783)
SGO;2021-01-07 06:28:00;JANEIRO/2021;01/2021;AVENIDA DOM PEDRO II 1269, CARLOS PRATES;NOROESTE;2021;POINT (-43.99503278 -19.80296531)
SGO;2021-01-07 07:47:00;JANEIRO/2021;01/2021;RUA RIO POMBA 649, PADRE EUSTAQUIO;NOROESTE;2021;POINT (-43.9401880144965 -19.9126402581023)
