origem;data_hora;mes_ano;trimestre_ano;endereco;regional;ano;Geometry;trimestre
VIVO;2024-04-01 00:00:00;ABRIL/2024;02/2024;RUA JOSE DE PATROCINIO PONTES 1484, MANGABEIRAS;CENTRO-SUL;2024;POINT (-43.9248015 -19.93564873);2
VIVO;2024-04-01 00:00:00;ABRIL/2024;02/2024;RUA VISCONDE DE TAUNAY 188, SAO LUCAS;CENTRO-SUL;2024;POINT (-43.97222165 -19.84389277);2
VIVO;2024-04-01 00:00:00;ABRIL/2024;02/2024;RUA JOSE DE PATROCINIO PONTES 1484, MANGABEIRAS;CENTRO-SUL;2024;POINT (-43.9374092 -19.9635737);2
VIVO;2024-04-01 00:00:00;ABRIL/2024;02/2024;RUA VISCONDE DE TAUNAY 188, SAO LUCAS;CENTRO-SUL;2024;POINT (-43.9374092 -19.9635737);2
V.TAL;2024-04-01 00:18:00;ABRIL/2024;02/2024;RUA RADIO 130, SAO LUCAS;CENTRO-SUL;2024;POINT (-43.9477566 -19.8020821);2
V.TAL;2024-04-01 00:18:00;ABRIL/2024;02/2024;RUA RADIO 130, SAO LUCAS;CENTRO-SUL;2024;POINT (-43.9521025 -19.88199881);2
V.TAL;2024-04-01 00:31:00;ABRIL/2024;02/2024;RUA D 6, BONSUCESSO;BARREIRO;2024;POINT (-43.96780151 -19.95478153);2
V.TAL;2024-04-01 00:31:00;ABRIL/2024;02/2024;RUA D 6, BONSUCESSO;BARREIRO;2024;POINT (-43.9812986 -19.9498048);2
V.TAL;2024-04-01 01:28:00;ABRIL/2024;02/2024;RUA ALUIZIO TEIXEIRA DA SILVA 104, MANTIQUEIRA;VENDA NOVA;2024;POINT (-43.96780151 -19.95478153);2
V.TAL;2024-04-01 01:28:00;ABRIL/2024;02/2024;RUA OSWALDO PINHO TAVARES 129, CEU AZUL;VENDA NOVA;2024;POINT (-43.93671906 -19.88283747);2
V.TAL;2024-04-01 01:28:00;ABRIL/2024;02/2024;RUA ALUIZIO TEIXEIRA DA SILVA 104, MANTIQUEIRA;VENDA NOVA;2024;POINT (-43.9121331 -19.9087953);2
V.TAL;2024-04-01 01:28:00;ABRIL/2024;02/2024;RUA OSWALDO PINHO TAVARES 129, CEU AZUL;VENDA NOVA;2024;POINT (-43.9477566 -19.8020821);2
V.TAL;2024-04-01 02:09:00;ABRIL/2024;02/2024;RUA ERICO VERISSIMO 1858, SAO JOAO BATISTA;VENDA NOVA;2024;POINT (-43.9585693 -19.9448008);2
V.TAL;2024-04-01 02:09:00;ABRIL/2024;02/2024;RUA ERICO VERISSIMO 1858, SAO JOAO BATISTA;VENDA NOVA;2024;POINT (-43.93671906 -19.88283747);2
V.TAL;2024-04-01 03:52:00;ABRIL/2024;02/2024;RUA JOAO SAMAHA 400, SAO JOAO BATISTA;VENDA NOVA;2024;POINT (-44.0102946 -19.9447645);2
V.TAL;2024-04-01 03:52:00;ABRIL/2024;02/2024;RUA JOAO SAMAHA 400, SAO JOAO BATISTA;VENDA NOVA;2024;POINT (-43.9079215 -19.90343292);2
V.TAL;2024-04-01 04:09:00;ABRIL/2024;02/2024;RUA TRINTA E UM 149, PLANALTO;NORTE;2024;POINT (-43.9079215 -19.90343292);2
V.TAL;2024-04-01 04:09:00;ABRIL/2024;02/2024;RUA TRINTA E UM 149, PLANALTO;NORTE;2024;POINT (-43.9812986 -19.9498048);2
CLARO;2024-04-01 08:03:00;ABRIL/2024;02/2024;RUA DOM RODRIGO 410, SANTA ROSA;PAMPULHA;2024;POINT (-43.9248015 -19.93564873);2
