origem;data_hora;mes_ano;trimestre_ano;endereco;regional;ano;Geometry
SGO;2018-03-08 15:15:14;MARCO/2018;01/2018;AVENIDA NOSSA SENHORA DE FATIMA 1582, CARLOS PRATES;NOROESTE;2018;POINT (-43.9401126545984 -19.9133192811485)
SGO;2018-03-10 11:25:43;MARCO/2018;01/2018;AVENIDA PRESIDENTE ANTONIO CARLOS 1694, CACHOEIRINHA;NORDESTE;2018;POINT (-43.9391084512648 -19.9264268709144)
SGO;2018-03-13 07:53:00;MARCO/2018;01/2018;AVENIDA BERNARDO DE VASCONCELOS 757, SANTA CRUZ;NORDESTE;2018;POINT (-43.9349383695688 -19.9243249604466)
SGO;2018-03-13 08:24:09;MARCO/2018;01/2018;AVENIDA BERNARDO DE VASCONCELOS 1816, IPIRANGA;NORDESTE;2018;POINT (-43.9464727737963 -19.9357387969677)
SGO;2018-03-14 05:33:07;MARCO/2018;01/2018;RUA VIANA DO CASTELO 442, SAO FRANCISCO;PAMPULHA;2018;POINT (-43.9686124672849 -19.9185539841295)
SGO;2018-03-14 05:39:43;MARCO/2018;01/2018;AVENIDA AMAZONAS 322, CENTRO;CENTRO-SUL;2018;POINT (-43.9464727737963 -19.9357387969677)
SGO;2018-03-14 05:54:08;MARCO/2018;01/2018;AVENIDA AUGUSTO DE LIMA 290, CENTRO;CENTRO-SUL;2018;POINT (-43.946059758549 -19.901480182575)
SGO;2018-03-14 05:55:37;MARCO/2018;01/2018;AVENIDA BIAS FORTES 246, LOURDES ;CENTRO-SUL;2018;POINT (-43.9374174320082 -19.9332341934344)
SGO;2018-03-14 05:57:32;MARCO/2018;01/2018;AVENIDA AUGUSTO DE LIMA 407, CENTRO;CENTRO-SUL;2018;POINT (-43.9489963066371 -19.9229297284966)
SGO;2018-03-14 06:02:59;MARCO/2018;01/2018;AVENIDA CRISTIANO MACHADO 327, CONCORDIA;NORDESTE;2018;POINT (-43.9364071019151 -19.916475225135)
SGO;2018-03-14 06:22:09;MARCO/2018;01/2018;AVENIDA AMERICO VESPUCIO 1148, APARECIDA;NOROESTE;2018;POINT (-43.9374174320082 -19.9332341934344)
SGO;2018-03-14 19:49:26;MARCO/2018;01/2018;AVENIDA AMERICO VESPUCIO 1272, NOVA CACHOEIRINHA;NOROESTE;2018;POINT (-43.9404400439797 -19.9127542300879)
SGO;2018-03-14 20:38:59;MARCO/2018;01/2018;AVENIDA AMERICO VESPUCIO 1148, APARECIDA;NOROESTE;2018;POINT (-43.9404400439797 -19.9127542300879)
SGO;2018-03-14 23:19:16;MARCO/2018;01/2018;AVENIDA CRISTIANO MACHADO 388, COLEGIO BATISTA;LESTE;2018;POINT (-43.9398188759499 -19.9151555349221)
SGO;2018-03-15 05:33:15;MARCO/2018;01/2018;AVENIDA CRISTIANO MACHADO 5600, SAO GABRIEL;NORDESTE;2018;POINT (-43.9514800545583 -19.9333259497026)
SGO;2018-03-15 06:01:26;MARCO/2018;01/2018;AVENIDA DO CONTORNO 6698, LOURDES ;CENTRO-SUL;2018;POINT (-43.9354081573015 -19.9169199398902)
SGO;2018-03-15 06:03:30;MARCO/2018;01/2018;RUA ALAGOAS 293, BOA VIAGEM;CENTRO-SUL;2018;POINT (-43.9580962268686 -19.9085307055227)
SGO;2018-03-15 07:00:24;MARCO/2018;01/2018;AVENIDA PRESIDENTE ANTONIO CARLOS 7102, SAO JOSE;PAMPULHA;2018;POINT (-43.9352517459505 -19.9158184876285)
SGO;2018-03-15 13:13:41;MARCO/2018;01/2018;AVENIDA CRISTIANO MACHADO S/N, COLEGIO BATISTA;LESTE;2018;POINT (-43.9397294931246 -19.9125747849343)
SGO;2018-03-15 21:26:53;MARCO/2018;01/2018;AVENIDA PRESIDENTE ANTONIO CARLOS 7102, SAO JOSE;PAMPULHA;2018;POINT (-43.9391084512648 -19.9264268709144)
SGO;2018-03-16 06:06:12;MARCO/2018;01/2018;AVENIDA DO CONTORNO 11566, CENTRO;CENTRO-SUL;2018;POINT (-43.9276321522615 -19.8672973276099)
SGO;2018-03-16 08:13:59;MARCO/2018;01/2018;AVENIDA PRESIDENTE ANTONIO CARLOS 3800, SAO FRANCISCO;PAMPULHA;2018;POINT (-43.976264062457 -19.9291737828276)
SGO;2018-03-16 16:21:48;MARCO/2018;01/2018;RUA DOS CARIJOS 55, CENTRO;CENTRO-SUL;2018;POINT (-43.9374644909549 -19.9205469967758)
SGO;2018-03-17 06:52:24;MARCO/2018;01/2018;AVENIDA DO CONTORNO 6698, LOURDES ;CENTRO-SUL;2018;POINT (-43.9401914565114 -19.9125820553383)
SGO;2018-03-17 06:54:40;MARCO/2018;01/2018;AVENIDA AUGUSTO DE LIMA 744, CENTRO;CENTRO-SUL;2018;POINT (-43.9408098974014 -19.9164415217284)
SGO;2018-03-17 07:19:55;MARCO/2018;01/2018;AVENIDA AUGUSTO DE LIMA 407, CENTRO;CENTRO-SUL;2018;POINT (-43.9404738934032 -19.9128169455899)
SGO;2018-03-17 07:39:06;MARCO/2018;01/2018;AVENIDA CRISTIANO MACHADO 2895, IPIRANGA;NORDESTE;2018;POINT (-43.9406975129817 -19.9171027333971)
SGO;2018-03-17 07:39:41;MARCO/2018;01/2018;AVENIDA CRISTIANO MACHADO 2120, CIDADE NOVA;NORDESTE;2018;POINT (-43.9391084512648 -19.9264268709144)
SGO;2018-03-17 08:28:10;MARCO/2018;01/2018;AVENIDA PRESIDENTE ANTONIO CARLOS 2222, CACHOEIRINHA;NORDESTE;2018;POINT (-43.9374174320082 -19.9332341934344)
SGO;2018-03-18 06:29:29;MARCO/2018;01/2018;AVENIDA PRESIDENTE ANTONIO CARLOS 3860, SAO FRANCISCO;PAMPULHA;2018;POINT (-43.922158240757 -19.9299555518069)
SGO;2018-03-18 07:26:33;MARCO/2018;01/2018;AVENIDA PRESIDENTE ANTONIO CARLOS 2222, CACHOEIRINHA;NORDESTE;2018;POINT (-43.9494292109315 -19.913482925521)
SGO;2018-03-18 07:49:10;MARCO/2018;01/2018;AVENIDA PRESIDENTE ANTONIO CARLOS 4250, SAO FRANCISCO;PAMPULHA;2018;POINT (-43.9459866026165 -19.9353438474285)
SGO;2018-03-18 09:24:13;MARCO/2018;01/2018;AVENIDA AMAZONAS 3802, PRADO;OESTE;2018;POINT (-43.9546632627943 -19.9123843591682)
SGO;2018-03-18 17:54:17;MARCO/2018;01/2018;AVENIDA CRISTIANO MACHADO 2120, CIDADE NOVA;NORDESTE;2018;POINT (-43.9381231258256 -19.9348587985182)
SGO;2018-03-19 05:47:44;MARCO/2018;01/2018;AVENIDA DO CONTORNO 6698, LOURDES ;CENTRO-SUL;2018;POINT (-43.9377324187088 -19.9254520147563)
SGO;2018-03-19 07:16:33;MARCO/2018;01/2018;AVENIDA CRISTIANO MACHADO 2895, IPIRANGA;NORDESTE;2018;POINT (-43.9359050337717 -19.9187164705182)
SGO;2018-03-19 08:30:46;MARCO/2018;01/2018;AVENIDA CRISTIANO MACHADO 421, CONCORDIA;NORDESTE;2018;POINT (-43.9450733849819 -19.92132485601)
SGO;2018-03-19 09:26:29;MARCO/2018;01/2018;AVENIDA BERNARDO DE VASCONCELOS 1816, IPIRANGA;NORDESTE;2018;POINT (-43.9504924781395 -19.9212260292487)
SGO;2018-03-19 15:20:18;MARCO/2018;01/2018;AVENIDA NOSSA SENHORA DE FATIMA 2516, CARLOS PRATES;NOROESTE;2018;POINT (-43.9359050337717 -19.9187164705182)
SGO;2018-03-19 15:43:46;MARCO/2018;01/2018;AVENIDA CRISTIANO MACHADO 2895, IPIRANGA;NORDESTE;2018;POINT (-43.9538415362668 -19.9373753570354)
SGO;2018-03-20 05:39:19;MARCO/2018;01/2018;AVENIDA PRESIDENTE ANTONIO CARLOS 3860, SAO FRANCISCO;PAMPULHA;2018;POINT (-43.933657268057 -19.930626478097)
SGO;2018-03-20 05:40:13;MARCO/2018;01/2018;AVENIDA PRESIDENTE ANTONIO CARLOS 4175, SAO FRANCISCO;PAMPULHA;2018;POINT (-43.9546632627943 -19.9123843591682)
SGO;2018-03-20 06:13:01;MARCO/2018;01/2018;RUA ALAGOAS 293, BOA VIAGEM;CENTRO-SUL;2018;POINT (-43.9542512540912 -19.9155000827942)
SGO;2018-03-20 09:50:06;MARCO/2018;01/2018;AVENIDA AMERICO VESPUCIO 1681, NOVA ESPERANCA;NOROESTE;2018;POINT (-43.9450733849819 -19.92132485601)
SGO;2018-03-21 05:25:00;MARCO/2018;01/2018;AVENIDA AUGUSTO DE LIMA 407, CENTRO;CENTRO-SUL;2018;POINT (-43.9432993753252 -19.916946753136)
SGO;2018-03-21 05:26:14;MARCO/2018;01/2018;AVENIDA AUGUSTO DE LIMA 290, CENTRO;CENTRO-SUL;2018;POINT (-43.9444849207964 -19.9289880687748)
SGO;2018-03-21 05:38:30;MARCO/2018;01/2018;AVENIDA PRESIDENTE ANTONIO CARLOS 3800, SAO FRANCISCO;PAMPULHA;2018;POINT (-43.9400585820404 -19.9137617025697)
SGO;2018-03-21 05:43:16;MARCO/2018;01/2018;AVENIDA BIAS FORTES 1019, LOURDES ;CENTRO-SUL;2018;POINT (-43.9406975129817 -19.9171027333971)
SGO;2018-03-21 05:44:20;MARCO/2018;01/2018;AVENIDA PRESIDENTE ANTONIO CARLOS 4250, SAO FRANCISCO;PAMPULHA;2018;POINT (-43.9431520189036 -19.91461230219)
SGO;2018-03-21 05:53:09;MARCO/2018;01/2018;RUA DOS GUAICURUS 436, CENTRO;CENTRO-SUL;2018;POINT (-43.9406975129817 -19.9171027333971)
